Obs,STU_ID,STRAT_ID,F1MATHSE,F1TXMBIR,F1TXM1IR,F2PS0601,F3TZCMTHGPA,F1A07B,F1A07E,F1S16A,F1S16B,F1S16C,F1S16D,F1S16E,F1S16F,F1S16G,F1S16H,F1S16I,F1S17A,F1S17B,F1S17C,F1S17D,F1S17E,F1S17F,F1S17G,F1S17H,F1S17I,F1S17J,F1S40N,F2B17A,F2B17B,F1SES1,F1RACE,F1SEX,F1MOTHED,F1FATHED,outcome,F2F1WT,F3F1PNLPSWT,Factor1,Factor2
1211,163126,163,.,42.73,43.58,1,2.25,6,5,4,1,3,1,1,4,2,3,1,4,2,1,1,1,1,3,1,1,4,3,3,3,1.46,3,1,7,7,1,493.262,599.883,-0.02639,0.04171
1212,163127,163,-0.248,36.46,39.46,1,2,6,5,1,1,3,1,3,3,1,1,3,1,3,3,3,3,1,1,1,1,0,3,2,2,-1.09,2,2,1,1,1,63.519,72.657,-0.01461,0.01728
1213,163131,163,1.811,47.33,56.71,1,.,6,5,1,1,3,1,1,3,1,4,1,1,1,1,1,3,3,3,3,1,1,3,3,3,-0.88,2,1,1,1,0,65.378,57.499,0.06809,-0.09169
1214,163201,163,0.528,38.17,45.87,1,4,6,5,1,1,3,1,1,3,1,4,1,1,1,3,3,3,3,1,3,1,1,3,3,3,-0.17,2,2,2,2,1,100.126,90.244,0.07026,-0.03878
1215,163206,163,.,44.29,45.52,,.,6,5,3,1,3,1,1,3,1,1,1,1,1,4,3,3,1,1,1,1,1,3,,,-0.14,7,2,3,2,0,0,779.458,-0.00591,0.02271
1216,163207,163,1.811,37.01,72.3,1,.,6,5,1,1,4,1,1,4,1,3,1,1,1,1,1,3,3,3,4,1,1,3,3,2,0.15,2,1,7,1,0,106.11,85.62,0.09873,-0.09663
1217,163211,163,0.528,48.41,55.83,2,2.5,6,5,1,1,3,1,1,3,1,3,3,1,1,1,3,3,1,4,1,1,1,3,2,2,-0.51,2,2,1,4,0,98.596,103.733,0.05735,-0.06804
1218,163212,163,-0.755,40.49,43.92,0,.,6,5,1,1,3,1,3,3,1,1,1,1,1,3,3,3,1,3,1,1,1,3,3,2,-0.99,2,2,1,1,0,96.648,124.453,0.02093,-0.02253
1219,163213,163,0.036,50.3,47.92,1,2.75,6,5,1,1,3,1,1,3,1,4,1,1,1,1,3,3,3,1,3,1,1,3,2,2,-1.01,2,1,1,4,0,102.765,107.251,0.07227,-0.06434
1220,163216,163,-0.264,31.63,50.42,2,2,6,5,1,1,3,1,1,3,1,4,1,1,1,1,1,3,3,3,3,1,1,3,3,2,-0.85,5,1,4,2,0,347.874,384.662,0.06809,-0.09169
1221,163219,163,1.811,55.63,69.22,1,2.75,6,5,4,1,3,1,2,3,1,4,1,1,3,1,3,3,3,3,1,1,1,3,1,3,-0.67,2,2,1,4,1,97.382,110.67,0.05582,0.02525
1222,163220,163,-2.039,31.46,38.04,1,1,6,5,3,1,3,1,1,3,1,1,1,1,2,2,3,3,1,1,1,1,1,3,2,2,1.53,2,1,7,8,0,104.009,99.6,-0.00952,0.01288
1223,163221,163,-0.761,45.14,47.1,2,3.25,6,5,4,1,3,1,3,3,1,3,0,1,3,3,3,4,1,1,1,1,1,3,1,3,-0.79,2,2,3,5,1,101.9,0,0.02091,0.0615
1224,163227,163,.,24.76,27.91,2,.,.,6,3,4,1,1,3,1,1,1,1,3,3,3,4,1,2,1,1,1,1,3,2,1,-1.01,2,2,1,2,0,99.001,127.255,-0.09519,0.11682
1225,163232,163,0.281,51.54,57.53,0,3,6,5,3,1,3,1,1,3,1,3,1,1,1,1,3,3,1,3,3,1,1,3,3,2,-1.41,2,2,1,1,0,101.851,99.712,0.06557,-0.04222
1226,163233,163,.,31.64,45.45,1,2,.,6,4,1,3,1,1,3,2,1,1,1,1,2,3,3,2,1,1,1,1,3,1,1,-0.79,2,2,1,2,1,100.755,119.739,0.00573,0.02833
1227,163234,163,0.237,28.56,27.38,,1.5,6,5,3,1,3,1,3,1,1,1,3,3,3,3,1,3,1,1,1,1,1,3,,,-0.46,2,2,1,6,1,101.505,92.661,-0.08619,0.07025
1228,164117,164,0.281,24.49,23.15,0,.,6,6,3,3,3,1,3,1,1,1,1,1,3,1,3,1,1,1,1,1,3,3,1,2,-0.01,3,2,5,6,0,111.531,106.531,-0.08472,0.0393
1229,164126,164,-0.509,23.03,24.35,0,2.75,6,6,1,1,3,1,2,2,1,1,3,1,3,3,3,1,1,1,1,1,2,3,2,3,-0.94,3,2,2,2,1,106.066,114.211,-0.0699,0.01369
1230,164133,164,-0.001,17.11,20.47,1,2,6,6,1,2,2,1,1,2,1,1,1,1,2,2,0,3,1,1,1,1,1,3,2,2,0.24,3,2,7,5,1,117.437,0,-0.07623,-0.04129
1231,164202,164,-0.755,62.5,54.9,1,.,6,6,3,1,1,1,1,3,1,3,1,1,1,1,3,3,3,1,1,1,1,3,2,2,0.32,7,2,3,2,0,383.177,389.146,0.00929,-0.01594
1232,164205,164,0.528,42.15,66.29,1,.,6,6,1,3,3,1,1,3,1,3,1,1,1,1,3,3,3,1,1,1,3,3,2,3,1.34,7,2,7,8,0,376.711,348.672,0.04187,-0.03852
1233,164207,164,0.281,48.04,48.54,1,4,6,6,3,1,1,1,1,3,1,3,1,1,1,1,3,3,3,1,1,1,3,3,3,3,0.8,7,2,6,6,0,370.211,373.414,0.00929,-0.01594
1234,164210,164,-0.757,36.27,39.52,2,2.75,6,6,3,3,2,1,3,3,1,3,1,3,3,3,3,4,1,1,1,1,1,3,2,3,0.89,7,2,6,6,0,367.465,441.32,0.00575,0.08959
1235,164213,164,1.024,64.49,59.57,1,2.75,6,6,3,1,1,1,1,3,1,3,1,1,1,1,3,3,3,1,1,1,3,3,2,1,-0.22,5,2,1,3,0,388.219,408.045,0.00929,-0.01594
1236,164214,164,.,43.83,.,,.,.,6,3,1,1,1,3,1,1,1,1,1,3,1,3,1,1,1,1,1,1,2,,,-1.04,7,2,1,2,1,421.604,477.361,-0.114,0.02849
1237,164216,164,0.515,55.8,64.97,2,4,6,6,3,1,1,1,3,3,1,3,1,1,1,3,3,3,2,1,1,1,2,2,2,2,0.02,7,2,5,3,0,387.627,359.894,-0.00324,0.01581
1238,165102,165,.,37.34,44.16,2,3.5,5,6,2,3,3,1,3,3,0,2,3,2,3,3,3,3,1,2,3,3,2,2,2,1,0.56,7,1,4,7,0,666.078,800.992,0.03093,0.0485
1239,165107,165,-0.259,68.06,72.25,1,4,5,6,2,2,3,1,2,3,1,3,1,1,1,1,3,3,1,3,3,1,1,3,3,2,-0.5,2,2,1,3,1,155.37,133.433,0.06809,-0.04887
1240,165108,165,1.811,74.87,78.42,1,4,5,6,1,1,3,1,1,3,1,3,1,1,1,3,1,3,1,3,3,1,1,3,3,2,1.23,7,1,7,6,1,513.112,348.195,0.03837,-0.06906
1241,165109,165,.,52.54,58.21,1,.,5,6,3,1,1,3,1,3,1,1,1,3,3,3,3,1,3,1,1,1,1,2,3,2,0.62,7,2,7,2,0,474.037,433.161,-0.07317,0.11008
1242,165113,165,-0.782,44.31,46.47,1,3.25,5,6,3,1,3,1,1,3,1,3,1,4,3,3,3,3,1,1,1,1,3,3,3,2,0.8,7,2,5,6,0,473.227,417.131,-0.00686,0.08584
1243,165123,165,.,46.07,44.74,1,2.75,5,6,1,2,3,1,3,3,2,3,3,3,3,3,2,3,1,1,1,1,1,2,3,3,-0.31,7,2,3,4,0,683.951,445.999,-0.01154,0.05205
1244,165124,165,1.564,62.74,72.49,1,3.75,5,6,1,1,3,1,1,3,1,3,1,1,1,1,3,3,1,3,3,1,1,3,3,2,0.01,7,1,4,4,1,538.904,461.069,0.06888,-0.07561
1245,165125,165,0.25,56.87,58.71,1,4,5,6,1,1,3,1,1,3,1,3,1,1,1,3,3,3,1,1,1,1,3,3,3,1,0.43,7,2,4,5,0,494.021,368.954,0.01887,-0.02995
1246,165127,165,.,50.51,60.44,1,2.75,.,6,3,3,3,1,3,3,1,3,1,1,3,3,3,4,3,1,1,1,3,3,3,1,1.46,7,2,7,8,0,502.231,386.396,0.04356,0.06179
1247,165202,165,0.264,25.51,32.87,2,2.25,5,5,4,4,3,1,3,3,1,3,1,3,3,3,4,1,1,1,1,1,1,3,2,2,-0.43,2,1,2,4,1,220.544,245.219,-0.02705,0.1193
1248,165214,165,-0.522,32.72,38.71,0,.,5,5,3,3,3,1,3,3,1,3,1,1,3,3,3,3,1,2,1,1,1,3,3,3,0.34,3,2,3,6,0,351.194,341.684,0.01823,0.05082
1249,165219,165,-0.013,23.87,37.17,0,3.5,5,5,1,3,3,1,1,3,1,1,2,1,3,3,3,3,1,1,1,1,1,3,2,2,0.12,5,1,3,6,1,309.421,297.271,-0.00931,0.01882
1250,166101,166,1.282,63.49,66.39,1,4,5,5,1,1,3,1,1,3,1,3,3,1,1,0,1,3,3,3,3,1,1,3,2,1,0.72,7,2,6,6,1,517.976,900.213,0.05886,-0.10122
1251,166106,166,-0.755,47.54,45.73,0,.,5,5,3,1,3,1,3,1,1,1,1,1,1,3,3,3,1,1,1,1,1,3,1,2,0.58,7,2,5,6,0,526.325,807.839,-0.039,0.02384
1252,166108,166,0.501,45.53,54.74,1,3,5,5,2,2,3,1,1,3,1,1,1,1,1,3,3,3,1,1,1,1,1,3,3,2,0.01,7,2,2,6,1,554.159,533.216,-0.00149,-0.00135
1253,166109,166,-0.259,43.32,56.62,1,2,5,5,4,3,3,1,2,3,1,3,3,4,4,3,3,3,1,1,1,1,1,3,2,3,-0.58,7,2,1,5,0,576.741,466.368,-0.01149,0.13372
1254,166115,166,0.25,73.07,75,1,4,5,5,0,0,3,0,0,4,0,1,3,1,1,1,1,1,2,2,4,1,1,3,3,3,1.21,7,1,6,7,0,577.473,482.157,0.00334,-0.14335
1255,166117,166,0.773,49.62,51.99,0,1.5,5,5,3,1,3,1,1,3,1,3,1,1,1,3,3,3,3,3,1,1,1,3,2,1,0,7,1,6,2,1,599.99,829.223,0.05735,0.00126
1256,166204,166,1.566,63.48,61.54,1,4,7,6,1,3,3,1,1,3,1,3,1,1,1,3,3,3,3,1,1,1,3,3,3,2,0.49,7,2,5,5,0,338.553,239.093,0.03987,-0.01296
1257,166205,166,0.281,61.75,65.22,1,2.5,7,6,1,1,3,1,1,3,1,3,3,1,1,1,3,2,2,3,1,1,3,3,2,3,0.52,7,2,3,6,1,324.143,272.807,0.03392,-0.06141
1258,166209,166,1.27,52.76,58.39,1,1.75,7,6,1,3,4,1,1,3,1,1,1,1,1,3,3,2,2,1,1,4,1,3,2,1,-0.02,7,2,5,2,0,320.19,272.705,0.00934,0.01576
1259,166211,166,-0.248,46,47,1,2.25,7,6,1,3,3,1,1,3,1,2,1,1,1,3,3,3,2,1,1,1,3,3,3,3,0.43,7,2,6,5,1,318.638,241.643,0.02089,-0.0128
1260,166213,166,1.019,49.86,60.39,1,2,7,6,1,1,3,1,1,3,1,1,1,1,1,1,3,3,3,1,1,1,3,3,3,1,0.13,7,2,4,2,0,309.951,234.181,0.01788,-0.04284
1261,166214,166,.,56.38,.,1,3,.,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2,1,0.31,7,2,5,5,0,0,0,-0.22516,-0.16943
1262,166216,166,.,48.06,59.14,1,2.25,7,6,1,3,3,1,1,3,1,3,1,1,1,3,3,2,2,3,1,1,1,3,2,1,0.83,7,2,6,8,0,645.576,300.112,0.03543,-0.02503
1263,166217,166,1.811,58.56,66.02,1,3.5,7,6,2,2,4,1,1,3,3,3,1,1,1,3,3,3,3,3,1,1,2,3,3,1,0.88,3,2,6,7,0,291.204,294.322,0.07874,0.01276
1264,166223,166,-0.014,46.66,59.21,1,2,7,6,3,3,3,1,1,3,1,1,1,3,3,3,3,3,2,1,1,1,1,2,2,1,1.03,7,1,6,6,0,333.079,338.995,-0.01134,0.08925
1265,166227,166,0.528,57.85,64.82,1,3.75,7,6,1,0,4,0,0,3,0,0,0,1,1,1,3,2,2,3,1,1,3,3,2,2,1.55,7,2,8,7,0,303.445,227.755,0.01331,-0.08801
1266,166230,166,0.266,48.04,55.12,1,2,7,6,1,3,3,1,1,3,1,1,1,1,3,3,3,3,3,1,1,1,1,3,2,1,1.06,7,2,7,6,1,293.11,270.689,0.00817,0.02499
1267,166231,166,0.238,21.61,32.96,2,1.25,7,6,3,3,3,1,3,1,1,1,1,3,3,3,3,3,1,1,1,1,1,3,2,2,0.88,7,1,4,6,0,342.235,234.833,-0.05417,0.10008
1268,166261,166,.,.,79.12,1,4,7,6,4,4,4,1,3,4,4,4,4,3,3,3,3,3,3,3,1,1,1,3,2,3,-0.35,2,2,6,2,1,191.292,171.391,0.08742,0.1375
1269,167105,167,0.528,38.94,58.8,1,3,6,5,1,3,3,1,1,3,1,3,1,1,1,1,2,2,2,2,1,2,1,3,2,2,1.79,6,1,8,8,1,511.835,465.868,0.01297,-0.04727
1270,167106,167,0.773,57.16,67.39,1,4,6,5,3,3,3,1,1,3,0,1,3,1,1,3,3,3,1,3,3,1,1,3,2,2,1.06,7,2,6,6,0,493.817,629.123,0.04407,-0.01074
1271,167109,167,0.238,73.33,76.88,1,.,6,5,1,3,3,1,1,3,1,2,1,1,1,1,3,3,1,3,3,1,3,3,3,3,1.29,7,1,7,7,1,514.127,474.456,0.06216,-0.06155
1272,167110,167,.,40.12,51.54,1,1.75,6,5,3,1,3,1,1,3,1,3,1,1,1,3,3,3,1,2,1,1,1,3,2,2,0.06,7,1,5,3,1,686.93,561.759,0.02772,-0.00074
1273,167111,167,1.811,73.48,75.33,1,.,6,5,1,3,3,1,1,3,1,3,1,1,1,3,3,3,1,1,3,3,1,3,3,3,1.28,2,2,7,8,0,180.652,172.635,0.04995,-0.01359
1274,167115,167,.,20.73,.,,.,.,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,-0.67,7,2,2,2,0,0,0,-0.22516,-0.16943
1275,167120,167,0.25,43.96,45.56,1,2.5,6,5,1,3,4,1,1,3,1,1,1,1,1,3,3,3,1,1,1,1,1,3,2,3,1.04,7,2,7,6,1,485.224,561.929,0.0148,-0.01264
1276,167206,167,-1.53,37.57,32.42,0,.,5,5,3,1,3,1,3,2,1,1,1,4,1,1,1,1,1,1,1,1,1,3,1,2,-0.12,7,2,4,2,0,393.803,703.012,-0.10055,0.02665
1277,167207,167,-1.018,56.12,55.24,1,3,5,5,3,1,3,1,3,1,1,1,3,2,2,2,2,2,1,3,1,1,1,3,3,3,-0.63,7,1,2,4,0,390.271,350.23,-0.05729,0.02529
1278,167209,167,.,66.75,73.9,1,2.75,5,5,3,1,2,2,1,2,2,2,1,4,2,1,2,1,1,1,1,3,1,3,2,3,0.64,7,1,6,7,1,405.888,899.966,-0.08699,0.08295
1279,167212,167,-0.755,58.88,62.36,1,.,5,5,1,1,3,1,3,3,1,1,1,3,3,3,3,3,3,3,3,1,1,3,3,2,1.22,7,2,7,7,1,388.52,446.806,0.0434,0.03731
1280,167213,167,-0.773,64.85,64.17,1,.,5,5,1,1,3,1,3,3,1,3,2,1,2,2,2,2,2,3,1,2,1,3,2,2,0.77,7,1,6,5,0,409.049,362.423,0.01321,-0.02447
1281,167216,167,.,35.23,40.9,0,.,.,6,3,3,4,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,2,3,3,3,-1.15,2,2,3,2,0,245.058,190.773,-0.0142,0.03717
1282,167217,167,.,56.61,60.77,1,.,5,5,3,1,3,3,1,1,1,1,1,4,4,3,4,3,1,1,1,1,3,3,2,2,0.8,7,2,5,6,1,393.791,411.464,-0.05228,0.152
1283,167218,167,-0.264,45.34,46.54,2,3.25,5,5,2,1,2,1,2,2,1,1,2,2,2,2,2,2,1,1,1,1,2,3,2,3,0.17,7,2,2,6,1,397.96,371.342,-0.07578,0.00999
1284,167219,167,0.234,56.45,58.86,1,4,5,5,3,3,2,1,2,2,1,1,2,2,2,2,2,2,1,3,1,1,2,3,2,1,-0.51,7,2,2,2,1,400.008,406.521,-0.0496,0.02916
1285,167220,167,-0.253,60.32,62.02,,3,5,5,3,3,3,1,3,3,1,2,0,1,3,3,3,3,3,3,4,4,0,3,,,0.03,7,2,4,2,1,398.731,437.027,0.07897,0.06439
1286,167221,167,1.27,52.11,63.04,1,.,5,5,1,1,3,1,4,1,1,1,1,1,1,1,3,3,3,3,1,3,3,3,2,2,1.1,7,1,6,7,0,406.539,365.968,0.01108,-0.01535
1287,167224,167,-0.259,59.81,61.87,1,3.75,5,5,1,1,2,1,2,2,1,1,2,1,1,2,1,2,1,2,1,1,1,3,3,3,-0.15,7,2,3,2,1,389.992,672.257,-0.06687,-0.05309
1288,167225,167,-1.28,30.66,33.73,2,2,5,5,1,1,3,1,3,3,1,1,3,3,1,3,3,1,1,1,1,1,1,3,1,1,0.14,7,2,3,7,0,404.519,349.504,-0.05086,0.01852
1289,167227,167,1.27,62.76,65.2,1,4,5,5,1,1,2,1,2,2,1,1,1,3,1,1,1,1,0,2,1,1,1,3,2,2,0.57,7,2,2,6,0,391.266,799.393,-0.10208,-0.03562
1290,167230,167,-0.258,58.34,73.01,,3.5,5,5,4,4,3,1,3,3,1,1,4,4,3,3,3,3,3,3,3,1,1,3,,,-0.59,2,1,2,2,1,157.848,171.212,0.04,0.1206
1291,168101,168,.,50.65,52.17,1,.,6,6,3,1,3,3,3,3,3,1,1,1,1,1,1,1,2,3,1,1,4,3,3,2,1.17,2,1,7,7,1,171.102,279.078,-0.03633,0.02073
1292,168102,168,.,55.23,66.46,1,.,6,6,1,3,3,1,1,3,1,3,1,1,1,1,1,3,3,3,3,1,1,3,3,2,0.95,7,2,6,7,1,648.181,308.591,0.06137,-0.07762
1293,168103,168,-0.246,64.64,62.27,1,.,6,6,1,3,3,1,1,3,1,3,1,1,1,1,3,3,3,3,1,1,1,3,3,3,1.25,7,1,6,7,0,489.558,437.181,0.06619,-0.04687
1294,168104,168,.,33.93,.,0,.,.,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,2,0.98,7,1,6,6,1,0,0,-0.22516,-0.16943
1295,168105,168,.,50.01,54.41,1,.,6,6,3,1,1,3,1,3,3,3,1,3,3,3,3,3,3,3,1,1,1,3,2,2,0.24,6,1,6,6,0,726.434,512.948,0.01673,0.11928
1296,168106,168,0.79,52.81,59.66,1,3.25,6,6,3,1,3,1,3,1,1,1,3,1,1,3,3,3,1,3,1,1,1,3,3,2,0.25,6,2,3,3,0,504.105,488.13,-0.01469,0.01549
1297,168110,168,.,57.23,66.11,1,4,6,6,3,1,1,3,1,3,3,1,1,3,1,1,3,3,3,3,1,1,1,3,3,3,1.38,7,1,7,7,1,687.583,375.012,0.0095,0.06876
1298,168115,168,-1.051,53.09,67.27,1,3.25,6,6,3,3,3,1,1,3,1,1,1,1,1,1,3,3,3,3,1,2,1,3,2,2,0.88,7,2,6,6,1,497.631,428.967,0.04435,0.00166
1299,168117,168,0.495,57.38,60.4,1,3.75,6,6,1,1,3,1,3,3,1,3,1,1,3,3,3,1,2,2,1,1,1,3,3,3,1.27,7,2,5,8,1,468.699,403.21,-0.01327,0.00844
1300,168119,168,1.024,62.36,66.63,1,.,6,6,3,1,3,1,0,3,1,1,1,1,1,1,3,3,3,3,1,1,1,3,3,2,0.32,7,2,5,6,0,494.707,450.719,0.03978,-0.02244
1301,168120,168,.,37.25,42.85,1,.,6,6,1,1,3,1,1,3,1,4,1,1,1,1,1,3,3,3,3,1,1,3,3,3,1.1,2,2,6,7,1,250.235,69.688,0.06809,-0.09169
1302,168121,168,1.533,67.14,68.76,1,3.75,6,6,1,3,3,1,1,3,1,3,1,1,1,1,3,3,3,3,1,1,1,3,3,3,1.06,7,2,6,6,1,473.586,412.958,0.06619,-0.04687
1303,168216,168,1.27,55.95,60.8,1,3.25,4,4,3,1,3,1,1,3,1,1,1,3,3,3,1,3,1,3,1,1,3,3,2,1,0.71,7,2,2,6,0,654.954,541.265,-0.02778,0.048
1304,168217,168,-1.018,48.92,51.04,1,3,4,4,3,3,3,1,3,3,1,3,0,1,1,3,1,3,0,3,3,1,1,3,2,1,0.21,3,2,7,7,0,647.005,687.367,0.02807,-0.01865
1305,169101,169,0.495,35.02,48.59,2,2.75,5,5,2,2,3,1,1,3,1,1,1,3,2,2,1,1,1,2,1,1,1,3,2,1,0,7,2,2,4,0,629.222,507.277,-0.06993,0.01112
1306,169102,169,-1.035,44.87,46.46,2,2,5,5,1,1,3,1,1,1,1,1,3,1,1,3,2,3,2,3,1,1,1,3,3,1,-0.13,7,2,1,2,0,662.485,605.71,-0.01511,-0.0336
1307,169104,169,0.499,27.96,31.16,1,2,5,5,3,3,3,1,3,3,1,1,1,1,1,3,3,3,3,3,1,1,1,3,2,3,0.31,7,2,2,6,0,682.892,510.736,0.03862,0.02785
1308,169105,169,-0.248,37.88,44.36,1,4,5,5,3,1,2,1,0,2,1,1,1,3,2,2,2,2,1,1,1,1,0,3,3,2,0.66,7,2,3,6,1,634.196,896.287,-0.07938,0.03439
1309,169106,169,0.747,51.73,57.88,2,2.5,5,5,1,4,3,1,1,3,1,3,1,1,1,2,2,3,3,3,1,1,1,3,3,3,0.89,7,1,6,6,1,617.202,580.277,0.05269,-0.03819
1310,169107,169,1.025,40.81,43.06,1,3,5,5,3,1,3,1,3,3,1,1,1,1,1,3,3,3,3,3,1,1,1,3,3,3,-0.27,7,2,2,2,0,642.994,648.21,0.0351,0.01703
1311,169111,169,1.024,54.45,53.95,1,3.5,5,5,1,3,3,1,1,3,1,3,1,1,1,3,1,3,1,3,1,1,3,3,2,2,0.74,7,2,5,6,1,635.547,815.888,0.0182,-0.04649
1312,169112,169,1.811,57.29,67.24,1,3.75,5,5,3,1,3,1,1,3,1,1,3,3,2,2,2,2,2,3,1,1,1,3,3,2,0.85,7,2,4,7,1,625.474,535.473,-0.01819,0.03145
1313,169113,169,-0.509,38.83,38.88,2,.,5,5,4,3,3,1,1,1,1,1,1,4,3,1,1,1,1,1,1,1,1,3,1,1,-0.34,7,1,2,2,1,712.413,705.761,-0.12428,0.07865
1314,169116,169,1.319,66.84,75.79,1,4,5,5,3,1,3,1,3,1,1,1,2,1,1,1,1,3,3,3,3,1,1,3,2,1,0.76,7,1,4,6,1,662.943,655.154,-0.00002,-0.03465
1315,169205,169,-0.755,30.92,31.99,,.,5,5,1,1,3,1,3,1,1,1,1,1,3,3,1,1,1,1,1,1,1,2,,,-0.61,7,1,4,2,1,251.396,298.11,-0.11544,0.00164
1316,169210,169,0.03,24.98,23.97,3,.,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,-1.35,5,1,1,3,0,255.407,309.258,-0.22516,-0.16943
1317,169211,169,-0.242,40.82,50.75,2,1,5,5,3,1,3,1,1,3,1,1,3,3,1,3,3,3,1,1,1,1,1,3,2,2,-0.82,7,2,2,2,0,242.215,246.914,-0.01237,0.04389
1318,169213,169,1.019,57.93,63.17,0,.,5,5,3,4,1,1,3,3,4,1,1,1,1,1,3,3,3,1,1,1,1,3,2,2,-0.23,7,1,2,2,0,256.356,337.048,-0.00003,0.05025
1319,169215,169,0.762,53.06,60.17,2,4,5,5,3,1,3,1,1,3,1,1,1,1,1,3,3,3,1,3,1,1,1,2,2,2,-0.49,7,2,2,2,0,243.02,261.021,0.01941,0.00158
1320,169217,169,0.266,46.84,53.55,0,.,5,5,3,3,1,1,2,2,1,1,3,1,3,3,3,1,1,1,1,1,1,3,2,3,-0.51,7,1,2,2,0,264.762,429.353,-0.09543,0.05791
1321,169219,169,-0.51,58.13,62.64,1,4,5,5,1,1,3,1,3,4,1,1,3,1,1,1,3,3,3,1,1,1,0,3,3,3,0.02,7,2,3,3,1,239.217,226.405,0.03226,-0.03588
1322,169224,169,0.501,43.38,48.16,1,4,5,5,3,1,3,1,1,3,1,2,3,1,1,3,3,3,3,1,2,1,1,3,2,3,-0.32,7,2,2,2,1,243.214,318.19,0.03465,0.00698
1323,169225,169,1.811,54.69,59.49,1,4,5,5,3,3,4,1,3,3,1,1,4,1,1,3,3,3,2,2,1,4,1,3,2,2,-0.12,7,2,6,2,0,240.309,231.162,0.03641,0.05489
1324,169227,169,.,29.22,.,,.,.,6,4,1,3,1,4,1,1,1,3,4,3,2,1,1,1,1,1,1,1,3,,,-0.78,6,2,2,2,0,283.344,483.263,-0.13148,0.09453
1325,169228,169,-1.033,49.17,62.81,1,2.5,5,5,3,1,3,1,1,3,1,1,3,1,1,3,3,3,3,1,1,1,1,3,2,3,0.18,7,1,4,6,0,253.235,238.51,0.01257,0.0161
1326,169229,169,-1.279,39.04,46.84,2,2,5,5,3,1,3,1,3,3,1,1,1,1,1,3,3,3,2,1,1,1,1,3,1,2,-0.51,7,2,2,2,1,244.159,320.762,0.00205,0.0223
1327,170101,170,0.271,45.51,49.36,2,2.75,5,5,3,1,3,2,1,3,2,1,1,1,1,1,3,3,2,2,3,1,1,3,2,3,-0.5,7,2,1,5,0,261.412,272.484,0.04359,-0.00216
1328,170103,170,0.495,52.91,66.38,1,3,5,5,3,1,3,1,1,3,1,1,1,1,1,3,3,3,2,1,3,1,2,3,2,2,-0.3,7,2,3,3,0,267.652,0,0.02752,0.00127
1329,170110,170,0.265,22.2,26,3,.,5,5,3,3,3,1,3,1,1,1,1,3,1,3,3,4,1,1,1,1,1,3,2,2,-0.16,7,2,2,3,1,279.943,264.302,-0.02293,0.06925
1330,170114,170,-0.259,29.54,46.06,2,.,5,5,3,1,3,1,2,3,1,1,2,1,1,3,3,3,2,2,3,1,1,3,2,1,-0.68,7,2,1,3,0,243.21,304.395,0.03878,0.00173
1331,170119,170,.,46.28,53.33,1,1.5,5,5,1,2,2,1,1,3,1,1,1,1,1,1,3,3,2,1,1,1,2,3,3,2,0.16,7,1,2,3,0,264.044,414.749,-0.00197,-0.04052
1332,170124,170,0.779,53.95,58.32,1,1.75,5,5,3,1,1,1,1,3,3,1,1,1,1,3,3,3,3,1,3,1,1,3,3,2,0.17,7,1,5,2,1,261.924,342.605,0.0156,0.02715
1333,170201,170,1.27,59.93,69.21,1,3,5,5,1,1,3,1,1,3,1,4,1,1,1,3,3,3,3,1,1,1,1,3,2,2,0.8,7,1,4,6,1,282.812,267.12,0.04658,-0.02703
1334,170202,170,-0.755,41.73,46.73,2,2,5,5,1,1,4,1,1,3,1,1,1,1,1,3,3,3,1,1,1,3,3,3,3,2,0.52,7,2,3,5,0,266.583,512.781,0.01515,-0.00616
1335,170205,170,-0.259,24.04,31.54,0,.,5,5,1,3,4,1,3,1,1,1,1,3,3,3,1,1,1,1,1,3,1,3,1,3,-0.4,7,2,3,3,0,305.719,274.108,-0.10263,0.06372
1336,170206,170,-0.755,38.62,36.02,2,1.5,5,5,3,1,3,1,1,1,3,1,4,1,1,4,2,3,1,1,1,1,1,3,2,2,-0.35,7,2,5,2,0,284.598,261.217,-0.04738,0.04063
1337,170207,170,-0.259,44.76,60.41,1,3.5,5,5,1,3,3,1,1,3,1,1,3,1,1,3,3,3,2,1,1,1,1,,3,2,0.12,7,2,3,4,0,272.811,253.011,0.01066,-0.00955
1338,170210,170,1.27,44.21,55.36,2,2,5,5,3,3,4,1,1,1,1,1,3,1,1,3,3,3,1,1,1,1,3,3,3,3,-0.59,7,2,2,2,0,282.979,351.107,-0.02082,0.02537
1339,170212,170,0.265,59.12,62.03,1,.,5,5,1,1,3,1,1,3,1,3,1,1,1,1,3,3,3,1,1,1,1,2,2,2,1.7,7,1,8,8,1,295.449,237.61,0.03835,-0.04934
1340,170216,170,-0.782,60.9,64.48,2,4,5,5,1,1,3,1,1,3,1,1,4,1,1,1,3,3,3,1,2,1,2,3,3,2,-0.02,7,2,2,2,1,277.724,410.034,0.02972,-0.04872
